facility_name,address,suburb,postcode,state,latitude,longitude,coord_source,duplicate_count,source_file,source_provenance,ewaste_match_flag,ewaste_match_text,ewaste_match_column,review_flag,dedupe_key,original_latitude,original_longitude,original_coord_source,maptiler_query,maptiler_place_name,maptiler_match_score,maptiler_feature_id
OFFICEWORKS,UNIT 1 85-91 O'RIORDAN STREET,ALEXANDRIA,2015,NSW,-33.9091566685343,151.19212802499533,maptiler_other,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|2015,-33.9,151.2,postcode_fallback,"OFFICEWORKS, UNIT 1 85-91 O'RIORDAN STREET, ALEXANDRIA, NSW, 2015, Australia","Alexandria, New South Wales, Australia",11,municipality.97205
HARVEY NORMAN,326 BOOROWA STREET,YOUNG,2594,NSW,-34.31305272337324,148.29634974752253,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|2594,-34.43,148.07,postcode_fallback,"326 BOOROWA STREET, YOUNG, NSW, 2594, Australia","Boorowa Street, Young, New South Wales 2594, Australia",25,address.15814870
DELORAINE WASTE DISPOSAL SITE,54 TIP ROAD,DELORAINE,7304,TAS,-41.39759174143029,146.58555935223922,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,deloraine waste disposal site|7304,-41.82,146.68,postcode_fallback,"54 TIP ROAD, DELORAINE, TAS, 7304, Australia","Avenue Road, Parkham, Tasmania 7304, Australia",22,address.13113667
HARVEY NORMAN (CITY CROSS WAREHOUSE),5-19 WILLIAM STREET,MILE END SOUTH,5031,SA,-34.933888455507244,138.5715196722383,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman city cross warehouse|5031,-34.93,138.56,postcode_fallback,"5-19 WILLIAM STREET, MILE END SOUTH, SA, 5031, Australia","William Street, Mile End South, South Australia 5031, Australia",25,address.14895646
HARVEY NORMAN,161-177 MURRAY STREET,HOBART,7000,TAS,-42.880450279518065,147.32201428968312,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|7000,-42.87,147.33,postcode_fallback,"HARVEY NORMAN, 161-177 MURRAY STREET, HOBART, TAS, 7000, Australia","Murray Street, Hobart, Tasmania 7000, Australia",29,address.12811925
JACKSON STREET WASTE MANAGEMENT CENTRE,JACKSON STREET,GLENORCHY,7010,TAS,-42.84134651025215,147.25751214783622,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,jackson street waste management centre|7010,-42.82,147.3,postcode_fallback,"JACKSON STREET, GLENORCHY, TAS, 7010, Australia","Jackson Street, Glenorchy, Tasmania 7010, Australia",45,address.787467
HBB ELECTRICAL,37 ELDERSLIE STREET,WINTON,4735,QLD,-22.390066402294988,143.03805605591242,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,hbb electrical|4735,-23.76,141.14,postcode_fallback,"37 ELDERSLIE STREET, WINTON, QLD, 4735, Australia","Elderslie Street, Winton, Queensland 4735, Australia",25,address.6107767
OFFICEWORKS,1618 CANTERBURY ROAD,PUNCHBOWL,2196,NSW,-33.934742,151.03972799999997,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|2196,-33.93,151.05,postcode_fallback,"OFFICEWORKS, 1618 CANTERBURY ROAD, PUNCHBOWL, NSW, 2196, Australia","1618 Canterbury Road, Punchbowl, New South Wales 2196, Australia",41,address.772546
OFFICEWORKS,UNIT 1 927-933 VICTORIA ROAD,WEST RYDE,2114,NSW,-33.814735866515754,151.08569528293003,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|2114,-33.8,151.08,postcode_fallback,"OFFICEWORKS, WEST RYDE, NSW, Australia","Constitution Road West, West Ryde, New South Wales 2114, Australia",25,address.11387518
BEVERLEY WASTE MANAGEMENT CENTRE,2-6 TOOGOOD AVE,BEVERLEY,5009,SA,-34.898826225158174,138.5443497064283,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,beverley waste management centre|5009,-34.9,138.56,postcode_fallback,"2-6 TOOGOOD AVE, BEVERLEY, SA, 5009, Australia","Toogood Avenue, Beverley, South Australia 5009, Australia",25,address.1621548
THE GOOD GUYS,UNIT 17 19 STODDART ROAD,PROSPECT,2148,NSW,-33.80059,150.920029,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,the good guys|2148,-33.79,150.87,postcode_fallback,"THE GOOD GUYS, UNIT 17 19 STODDART ROAD, PROSPECT, NSW, 2148, Australia","19 Stoddart Road, Prospect, New South Wales 2148, Australia",25,address.13213009
HARVEY NORMAN,176-180 CONDAMINE STREET,BALGOWLAH,2093,NSW,-33.789061,151.26676399999997,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|2093,-33.79,151.26,postcode_fallback,"176-180 CONDAMINE STREET, BALGOWLAH, NSW, 2093, Australia","176-190 Condamine Street, Balgowlah, New South Wales 2093, Australia",25,address.5613011
OFFICEWORKS,163-181 NEW CANTERBURY ROAD,LEWISHAM,2049,NSW,-33.896622,151.14876700000002,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|2049,-33.89,151.14,postcode_fallback,"OFFICEWORKS, 163-181 NEW CANTERBURY ROAD, LEWISHAM, NSW, 2049, Australia","163-181 New Canterbury Road, Lewisham, New South Wales 2049, Australia",41,address.4724614
LOCKHART SHIRE COUNCIL WASTE DEPOT,40 TIP ROAD,LOCKHART,2656,NSW,-35.226495086612545,146.68813419825278,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,lockhart shire council waste depot|2656,-35.12,147.0,postcode_fallback,"LOCKHART SHIRE COUNCIL WASTE DEPOT, 40 TIP ROAD, LOCKHART, NSW, 2656, Australia","Tip Road, Lockhart, New South Wales, Australia",17,address.1821757
HARVEY NORMAN,38 CHAPMAN ROAD,GERALDTON,6530,WA,-28.727296202593948,114.62079217575592,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|6530,-28.79,114.6,postcode_fallback,"38 CHAPMAN ROAD, GERALDTON, WA, 6530, Australia","Chapman Road, Bluff Point, Western Australia 6530, Australia",18,address.3645419
E-CYCLE RECOVERY,12-14 BAULDERSTONE ROAD,GEPPS CROSS,5094,SA,-34.84625720156576,138.58871210630218,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE RECYCLING FACILITY,facility_infrastructure_type,,e cycle recovery|5094,-34.83,138.6,postcode_fallback,"E-CYCLE RECOVERY, 12-14 BAULDERSTONE ROAD, GEPPS CROSS, SA, 5094, Australia","Baulderstone Road, Gepps Cross, South Australia 5094, Australia",25,address.1654439
HARVEY NORMAN,125 PRINCE STREET,GRAFTON,2460,NSW,-29.68491530949615,152.93858765131824,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|2460,-29.05,152.59,postcode_fallback,"125 PRINCE STREET, GRAFTON, NSW, 2460, Australia","Prince Street, Grafton, New South Wales 2460, Australia",25,address.10657743
DELUNGRA LANDFILL,123 HAYWOOD ROAD,DELUNGRA,2403,NSW,-29.661145,150.81190500000002,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,delungra landfill|2403,-29.65,150.83,postcode_fallback,"123 HAYWOOD ROAD, DELUNGRA, NSW, 2403, Australia","123 Haywood Road, Delungra, New South Wales 2403, Australia",41,address.3051272
BROU LANDFILL FACILITY,BROU LAKE ROAD,BODALLA,2545,NSW,-36.14245391627064,150.11240615454471,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,brou landfill facility|2545,-36.15,149.71,postcode_fallback,"BROU LANDFILL FACILITY, BROU LAKE ROAD, BODALLA, NSW, 2545, Australia","Brou Lake Road, Bodalla, New South Wales, Australia",33,address.15353374
E-WASTE RECYCLING AUSTRALIA,45 NORTHERN LINK CIRCUIT,SHAW,4818,QLD,-19.276764153904697,146.69874230863536,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE RECYCLING AUSTRALIA,facility_owner,,e waste recycling australia|4818,-19.2,146.66,postcode_fallback,"E-WASTE RECYCLING AUSTRALIA, 45 NORTHERN LINK CIRCUIT, SHAW, QLD, 4818, Australia","Northern Link Circuit, Shaw, Queensland 4818, Australia",25,address.6372402
HARVEY NORMAN,1 COLSON STREET,ALICE SPRINGS,0870,NT,-23.695726,133.877477,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|0870,-12.44,130.84,postcode_fallback,"HARVEY NORMAN, 1 COLSON STREET, ALICE SPRINGS, NT, 0870, Australia","1 Colson Street, Alice Springs, Northern Territory 0870, Australia",41,address.12213130
BETTA HOME LIVING,33 KATHERINE TERRACE,KATHERINE,0850,NT,-14.47276043737366,132.26919639855623,maptiler_other,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,betta home living|0850,-14.46,132.26,postcode_fallback,"BETTA HOME LIVING, 33 KATHERINE TERRACE, KATHERINE, NT, 0850, Australia","Warlpiri Transient Camp, Katherine South, Australia",11,place.2912506
OFFICEWORKS,298 PARRAMATTA ROAD,AUBURN,2144,NSW,-33.85896769111542,151.02693324984216,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|2144,-33.85,151.03,postcode_fallback,"OFFICEWORKS, 298 PARRAMATTA ROAD, AUBURN, NSW, 2144, Australia","Pine Road, Auburn, New South Wales 2144, Australia",25,address.12654647
SHRED-X VIC,30 PLUMMER ROAD,LAVERTON NORTH,3026,VIC,-37.818407,144.81370800000002,maptiler_address,2,147594_01_1.csv | Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,147594_01_1.csv | Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-WASTE RECYCLING FACILITY,facility_infrastructure_type,,shred x vic|3026,-37.818277,144.813629,dataset,"SHRED-X VIC, 30 PLUMMER ROAD, LAVERTON NORTH, VIC, 3026, Australia","30 Plummer Road, Laverton North, Victoria 3026, Australia",45,address.8636281
BODDINGTON REFUSE DISPOSAL SITE,LOT 71 ROBINS ROAD,BODDINGTON,6390,WA,-32.851881397260875,116.44686168608814,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,boddington refuse disposal site|6390,-32.67,116.52,postcode_fallback,"BODDINGTON REFUSE DISPOSAL SITE, LOT 71 ROBINS ROAD, BODDINGTON, WA, 6390, Australia","Robins Road, Marradong, Western Australia 6390, Australia",18,address.13195122
HARVEY NORMAN,180 AUBURN STREET,GOULBURN,2580,NSW,-34.75340097271109,149.71944108174898,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|2580,-34.44,149.96,postcode_fallback,"HARVEY NORMAN, 180 AUBURN STREET, GOULBURN, NSW, 2580, Australia","Auburn Street, Goulburn, New South Wales 2580, Australia",25,address.1140708
"Ecycle Solutions (Dandenong South, E-waste recycling)",398-418 Hammond Road,Dandenong South,3175,VIC,-38.031904,145.201905,maptiler_address,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,"Ecycle Solutions (Dandenong South, E-waste recycling)",facility_name,,398 418 hammond road,-38.031918,145.2019,dataset,"398-418 Hammond Road, Dandenong South, Australia","398-418 Hammond Road, Dandenong South, Victoria 3175, Australia",29,address.11210913
PhoneCycle,2/290 Blackburn Road,Doncaster East,3109,VIC,-37.78145451185061,145.16356437040713,maptiler_address,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-waste recycling,infrastructure_type,,2 290 blackburn road,-37.78143824,145.1638486,dataset,"PhoneCycle, 2/290 Blackburn Road, Doncaster East, Australia","Blackburn Road Service Road, Doncaster East, Victoria 3109, Australia",13,address.15518849
"TES-AMM (Mulgrave), E-waste recycling)",15 Glenvale Crescent,Mulgrave,3170,VIC,-37.921456,145.16036899999995,maptiler_address,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,"TES-AMM (Mulgrave), E-waste recycling)",facility_name,,15 glenvale crescent,-37.921469,145.160357,dataset,"15 Glenvale Crescent, Mulgrave, Australia","15 Glenvale Crescent, Mulgrave, Victoria 3170, Australia",29,address.114470
TES-AMM (Somerton),23 Fillo Drive,Somerton,3062,VIC,-37.64109796694137,144.95706838896263,maptiler_address,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-waste recycling,infrastructure_type,,23 fillo drive,-37.64239502,144.9570923,dataset,"TES-AMM (Somerton), 23 Fillo Drive, Somerton, Australia","Fillo Drive, Somerton, Victoria 3062, Australia",13,address.5744675
Advanced Resource Recycling,160 Camp Road,Broadmeadows,3047,VIC,-37.68746476517328,144.9386406353442,maptiler_address,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-waste recycling,infrastructure_type,,160 camp road,-37.6842416,144.940391,dataset,"Advanced Resource Recycling, 160 Camp Road, Broadmeadows, Australia","Camp Road, Broadmeadows, Victoria 3047, Australia",13,address.11821248
Ewastec,9 Apsley Place,Seaford,3198,VIC,-38.113628,145.14362200000005,maptiler_address,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-waste recycling,infrastructure_type,,9 apsley place,-38.113635,145.143619,dataset,"Ewastec, 9 Apsley Place, Seaford, Australia","9 Apsley Place, Seaford, Victoria 3198, Australia",29,address.2805638
Geelong Disabled People's Industries,6-8 Baxter Road,North Geelong,3215,VIC,-38.124579,144.34995500000002,maptiler_address,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-waste recycling,infrastructure_type,,6 8 baxter road,-38.124661,144.350202,dataset,"Geelong Disabled People's Industries, 6-8 Baxter Road, North Geelong, Australia","6 Baxter Road, North Geelong, Victoria 3215, Australia",13,address.6494195
Green Collect,"Unit 1, 75A Ashley Street",Braybrook,3019,VIC,-37.791545,144.86331900000005,maptiler_address,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-waste recycling,infrastructure_type,,unit 1 75a ashley street,-37.791151,144.862989,dataset,"Green Collect, Unit 1, 75A Ashley Street, Braybrook, Australia","75a Ashley Street, Braybrook, Victoria 3019, Australia",13,address.13194460
Platinum Recycling,35 Hawker Street,Airport West,3041,VIC,-37.722515,144.88811699999997,maptiler_address,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-waste recycling,infrastructure_type,,35 hawker street,-37.72265292,144.8881545,dataset,"Platinum Recycling, 35 Hawker Street, Airport West, Australia","35 Hawker Street, Airport West, Victoria 3041, Australia",29,address.5323104
Quantum Recycling Solutions,16 Sonia Street,Carrum Downs,3201,VIC,-38.096224,145.16203900000005,maptiler_address,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-waste recycling,infrastructure_type,,16 sonia street,-38.096235,145.162021,dataset,"16 Sonia Street, Carrum Downs, Australia","16 Sonia Street, Carrum Downs, Victoria 3201, Australia",29,address.10910631
SRS Metals,304/308 Mahoneys Road,Thomastown,3074,VIC,-37.69132495,144.98034,dataset,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-waste recycling,infrastructure_type,,304 308 mahoneys road,-37.69132495,144.98034,dataset,"SRS Metals, 304/308 Mahoneys Road, Thomastown, Australia","304-308 Mahoneys Road, Thomastown, Victoria 3074, Australia",,dataset_verified.304-308-mahoneys-road-thomastown
United Star Resource,494 Boundary Road,Derrimut,3026,VIC,-37.809714,144.75412800000004,maptiler_address,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-waste recycling,infrastructure_type,,494 boundary road,-37.81030202,144.7540718,dataset,"494 Boundary Road, Derrimut, Australia","494 Boundary Road, Derrimut, Victoria 3026, Australia",29,address.6233202
WDEA - Nigretta of Hamilton,4 Peck Street,Hamilton,3300,VIC,-37.72716681,142.0043304,dataset,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-waste recycling,infrastructure_type,,4 peck street,-37.72716681,142.0043304,dataset,"4 Peck Street, Hamilton, Australia","4-6 Peck Street, Hamilton, Victoria, Australia",,address.15605403
Envirostream (PF metals) (TA Livium),17/19 Maria Street,Laverton North,3026,VIC,-37.837590072186394,144.78830680913688,maptiler_address,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-waste recycling,infrastructure_type,,17 19 maria street,-37.837268,144.787851,dataset,"Envirostream (PF metals) (TA Livium), 17/19 Maria Street, Laverton North, Australia","Maria Street, Laverton North, Victoria 3026, Australia",13,address.3573087
Active Group Solutions (Ecoactive),26 Harker St,Burwood,3125,VIC,-37.85378703993855,145.10400457307696,maptiler_address,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-waste recycling,infrastructure_type,,26 harker st,-37.85386291,145.105119,dataset,"Active Group Solutions (Ecoactive), 26 Harker St, Burwood, Australia","Harker Street, Burwood, Victoria 3125, Australia",,address.14057867
Ace recycling (Dandenong),32-34 Bennet Street,Dandenong,3175,VIC,-37.987338,145.19924000000003,maptiler_address,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-waste recycling,infrastructure_type,,32 34 bennet street,-37.98722713,145.1992215,dataset,"Ace recycling (Dandenong), 32-34 Bennet Street, Dandenong, Australia","32-34 Bennet Street, Dandenong, Victoria 3175, Australia",29,address.6424034
Elecsome PV Recycling,14A Velore Rd,Kilmany,3851,VIC,-38.103446,146.92026399999997,maptiler_address,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-waste recycling,infrastructure_type,,14a velore rd,-38.102588,146.922372,dataset,"Elecsome PV Recycling, 14A Velore Rd, Kilmany, Australia","14a Velore Road, Kilmany, Victoria 3851, Australia",13,address.1296426
Ace Recycling (Williamstown),63 Albermarle Street,Williamstown,3016,VIC,-37.850617,144.858791,maptiler_address,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-waste recycling,infrastructure_type,,63 albermarle street,-37.85086052,144.8587539,dataset,"63 Albermarle Street, Williamstown, Australia","63 Albemarle Street, Williamstown North, Victoria 3016, Australia",13,address.10560062
Lotus Recycling,2/72 Northgate Drive,Thomastown,3074,VIC,-37.689740269544956,145.03562787405235,maptiler_address,1,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,Victoria's-waste-and-resource-recovery-infrastructure-map-data-October-2025.csv,1,E-waste recycling,infrastructure_type,,2 72 northgate drive,-37.68793718,145.0358729,dataset,"2/72 Northgate Drive, Thomastown, Australia","Northgate Drive, Thomastown, Victoria 3074, Australia",13,address.677476
